,pgfaults,pgpgin,pgpgout,ctxt,softirq,mem_free,mem_total,swap_free,swap_total,read_bytes,write_bytes,flt
1,4102.0,0.0,0.0,34647.0,676.0,2664.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,4229.0,0.0,21700.0,48554.0,818.0,4052.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,6919.0,0.0,0.0,55434.0,965.0,3284.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,4168.0,0.0,0.0,74252.0,912.0,1880.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,8176.0,0.0,0.0,41891.0,601.0,13376.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,2851.0,0.0,168.0,63974.0,635.0,2204.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,7313.0,0.0,0.0,92070.0,1286.0,2416.0,0.0,0.0,0.0,0.0,3805184.0,0.0
1,4325.0,0.0,0.0,59653.0,752.0,6056.0,0.0,0.0,0.0,0.0,3805184.0,0.0
1,8059.0,0.0,156.0,85185.0,1367.0,3852.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,7223.0,0.0,0.0,72028.0,1128.0,4252.0,0.0,0.0,0.0,0.0,3809280.0,0.0
1,8983.0,0.0,124.0,133551.0,1617.0,4848.0,0.0,0.0,0.0,0.0,3805184.0,0.0
1,3830.0,0.0,340.0,59433.0,880.0,2496.0,0.0,0.0,0.0,0.0,3809280.0,0.0
1,5700.0,0.0,136.0,100143.0,1113.0,3332.0,0.0,0.0,0.0,0.0,3817472.0,0.0
1,4474.0,0.0,192.0,48522.0,855.0,2976.0,0.0,0.0,0.0,0.0,3784704.0,0.0
1,4496.0,0.0,128.0,39402.0,918.0,1868.0,0.0,0.0,0.0,0.0,3792896.0,0.0
1,4635.0,0.0,372.0,110217.0,1279.0,3948.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,3451.0,0.0,0.0,82433.0,976.0,5120.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,5775.0,0.0,92148.0,97306.0,2235.0,4336.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,4301.0,0.0,90616.0,108727.0,1944.0,3044.0,0.0,0.0,0.0,0.0,3813376.0,0.0
